C41:1
C42:1
C44:1
D10:1
D11:1
D12:1
D13:1
D14:1
D16:1
D17:1
D18:1
D19:1
D21:1
J11:1
J13:1
J14:1
Q2:1
Q3:1
Q4:1
Q5:1
Q7:1
Q8:1
R34:1
R35:1
R36:1
R37:1
R38:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R47:1
REF**:4
U10:1
U9:1
